publishedAt,authorDisplayName,textDisplay,likeCount
2023-03-14T14:59:01Z,@wingbeat0,PAJKYU MOTANAN,0
2023-03-14T05:31:40Z,@GagaUnivers4623,Nunggu yg ke3,0
2023-02-14T11:55:05Z,@zanahoriasbebes963,Mau yang pengabdi setan 3 - cerita ibu dan bapaknya ikut sekte sesat tuhhh,1
2023-02-07T04:29:08Z,@indino424,Takut Pengabdi Setan 2 communion film yang jernih filmnya Itu Pengabdi Setan 2 communion yang jernih karena setan 2 communion yang jernih 13,1
2023-02-04T10:14:39Z,@arai_al17,Scene lift nya 😱,0
2023-01-30T10:35:14Z,@kopexgaming,"baru sekali ntn film joko anwar, jujur keren sih berasa bgt horrornya, walaupun story nya masi agak dipaksa, tp namanya genre horror harus horrornya yg mencekam😁",42
2023-01-30T12:24:01Z,@Nfskonsep,Hal yang gw pelajari dari top global zilong,3
2023-02-01T02:25:15Z,@justkefla,hal yg gw pelajari dari film pengabdi setan 2,1
2023-02-18T14:16:48Z,@tetanggajauhosas8847,Pdhal film udh lama.bru komen skrg😁,2
2023-05-21T13:55:23Z,@reynaldigutierrez999,Awokwokw,0
2023-01-30T09:11:06Z,@Rama_YT,"Baru juga mulai,Langsung horor&quot; Aja😅",0
2023-01-29T03:03:12Z,@AhmadKhadiri-Haz,"3 orang yang mati. Pak ustad Tari dan Dino berhubungan dengan Toni, Toni memperbaikan radio dan habis itu dibuang disampah dan Tari mati dipembuangan sampah, Pak ustad minta dipijitin pinggangnya yang encok matinya pak ustadnya pinggangnya jadi pengkor dan dino minta ambilin garpu matinya kena garpu.",2
2023-01-28T13:59:16Z,@izzannamii,vibes film the raid <br>kesan kumuh digedung terbengkalay tempat markas gembong narkoba hidup,0
2023-01-27T15:40:06Z,@GENTLEMANFF-rz8ip,Pengabdi,0
2023-01-22T14:17:59Z,@selvasundar5802,Good trailer 👌 Love from  🇮🇳,1
2023-01-22T08:14:40Z,@yogafree7218,Q heran gini doang kok serem,0
2023-01-21T16:52:14Z,@gld.channel,"Gue kira bakalan lebih baik film nya,eh ternyata malah boring nonton nya,kebanyakan efek suara yang gak jelas,serem bukan karena film nya,tapi dari sound nya aja,ceritanya malah keliatan seperti di buat buat,gak tampak nyata,😂🤣<br>Sorry gue cuma ngomong jujur aja,gue dari tahun 90an penggemar film makanya saya tau mana film berkualitas dan tidak,semoga kedepannya bisa lebih baik lagi,jangan terlalu di beri efek suara seram,tapi cerita dan alur nya harus tampak real dan menakutkan,masukan aja",1
2023-01-22T00:12:04Z,@danilad803,Pdahal modal nonton bajakan:),8
2023-01-22T09:45:45Z,@pp_gon6581,Ini kualitas nya tinggi njrirrt bisa sampe IMAX,0
2023-01-26T12:37:42Z,@himawari8171,Lu nnton d bioskop apa hasil bajakan burik😂,0
2023-01-29T12:35:25Z,@anonymousid9383,@@danilad803 di disney udah ada. emang kurang bagus malah bagusan yang pertama. kalo yang kedua kebanyakan cgi sama banyak scene ga penting,0
2023-04-19T01:50:12Z,@HMCell-pg5md,Baru komen ya kak? Nonton di bioskop apa bajakan? 😭,1
2023-01-20T11:22:48Z,@tebrui4476,"Film pengabdi setan 2 menit <a href=""https://www.youtube.com/watch?v=8LIHcd7WfWI&amp;t=636"">10:36</a> ada motor mio soul gt biru putih,mang tahun 1980an udah ada?",0
2023-01-19T11:56:51Z,@Lovemyhome81,Hantu nya ngak seram...jerit2 aja lebih...i give 3 star for grafik,0
2023-01-31T15:03:31Z,@sekawaelwilliam2693,grafik apaan? haha.,0
2023-01-31T15:07:10Z,@Lovemyhome81,@@sekawaelwilliam2693 CGI kurng,0
2023-01-31T15:12:02Z,@sekawaelwilliam2693,@@Lovemyhome81 udah lumayan ituloh buat film horor dan ralat bukan grafik tpi grafis.,0
2023-04-08T09:39:45Z,@Ramm_rzzz,​@@Lovemyhome81grafik??? Loe kira ini game😂 lawakkk.,2
2023-04-08T12:57:48Z,@Lovemyhome81,@@Ramm_rzzz emangnya lawak,0
2023-01-19T07:27:03Z,@riadj3389,"Kenapa sih film horo Indonesia berisik banget, suara percakapan jadi sering tenggelam? Jadi gak realistis.... trus, ustadznya kok dimatiin terus di PS 1 maupun PS 2, kesian tahu wkwkwk",0
2023-01-18T10:06:47Z,@kitaindonesia4847,Pendapat saya tentang film ini. Cukup bagus namun saya lebih suka suasana dan cerita pengabdian setan 1. Disini Banyak adegan janggal. Entah saya disini masih bingung dengan asal usul kakek tua dan sepasang kekasih di ending film nya. Dan Masih banyak scene yang kurang terungkap dengan jelas. Kayaknya masih ada film lanjutannya 🙏,0
2023-01-31T15:05:21Z,@sekawaelwilliam2693,nah itu kayanya nnti diungkapin di film selanjutnya. kalau soal kakek tua klo dibuat spin off bagus juga mengenai dari awal kakek tua ini menginvestigasi soal komunitas pemuja setan yg ada d film ini.,0
2023-01-31T15:40:33Z,@kitaindonesia4847,@@sekawaelwilliam2693 menurut saya kakek tua di pengabdi setan 1 dia karakternya lebih antagonis. Sedangkan di pengabdi setan 2 malah lebih ke protagonis. Agak misterius ya🙏😁,0
2023-01-13T08:14:04Z,@permatapermata1687,"Ktanya akan ada yg ke 3, di Rumah ibu lgi ya?",0
2023-01-24T07:03:04Z,@ewa02,drumah budi,0
2023-01-12T04:56:53Z,@fargakasga5772,Satu satunya film yang gw nonton sebanyak 5kali di bioskop,0
2023-01-11T03:29:43Z,@putrinorma4923,Sukaa sama pengabdi setan karna  horornya gak kebanyakan drama,0
